month,country,import_value,country_share,country_share_ma3,share_volatility_12m,resilience_score,country_share_pct,country_share_ma3_pct,share_volatility_12m_pct
2025-12-01,TAIWAN,7293347606,0.3702080655500797,0.3995078675972034,0.054428454007425096,11.549785261914119,37.020806555007965,39.950786759720344,5.4428454007425096
2025-12-01,VIETNAM,2334574086,0.1185022575299156,0.1005068906588194,0.013240617155898998,66.07623411787219,11.850225752991559,10.05068906588194,1.3240617155898997
2025-12-01,MALAYSIA,2175710593,0.11043839582919596,0.10215929986928857,0.014982501892379691,58.97971109290878,11.043839582919595,10.215929986928856,1.4982501892379692
2025-12-01,"KOREA, SOUTH",2067034812,0.10492204684521829,0.08840526416438695,0.016825005255980043,52.884943881392736,10.492204684521829,8.840526416438694,1.6825005255980043
2025-12-01,CHINA,775977179,0.03938836126667921,0.041544073357411844,0.015664745543122603,60.934167069533785,3.938836126667921,4.154407335741184,1.5664745543122602
2025-12-01,MEXICO,670483219,0.03403352053117272,0.032599665175280686,0.01489453937108983,64.42121732203762,3.4033520531172723,3.2599665175280688,1.489453937108983
2025-12-01,JAPAN,667495303,0.03388185484044435,0.03686526664705627,0.013131577790915045,73.01609531577584,3.3881854840444348,3.686526664705627,1.3131577790915046
2025-12-01,ISRAEL,609055608,0.030915474022466007,0.029767060137501643,0.005459250312450806,174.31928254914487,3.0915474022466007,2.976706013750164,0.5459250312450806
2025-12-01,PHILIPPINES,497246499,0.025240078279677655,0.03179929448542595,0.01228841390647122,78.68318971899592,2.5240078279677656,3.1799294485425946,1.228841390647122
2025-12-01,INDONESIA,469865236,0.023850213850453307,0.02717780034095883,0.009099914963307292,106.1042183588433,2.385021385045331,2.717780034095883,0.9099914963307292
2025-12-01,THAILAND,424622633,0.021553713334928552,0.020750591716486518,0.003535984661814112,269.10077397765826,2.1553713334928553,2.0750591716486517,0.3535984661814112
2025-12-01,COSTA RICA,319257727,0.016205423340490847,0.014027349875000436,0.0028453666539742153,334.0142984684316,1.6205423340490848,1.4027349875000437,0.2845366653974215
2025-12-01,IRELAND,209313846,0.010624705993275167,0.012011146286655365,0.004135366747742315,233.59849404638138,1.0624705993275168,1.2011146286655365,0.4135366747742315
2025-12-01,GERMANY,174004170,0.008832397775796785,0.009737280455977248,0.002117673640204314,446.9402459655367,0.8832397775796785,0.9737280455977249,0.21176736402043142
2025-12-01,SINGAPORE,120781645,0.006130838891131614,0.005990262625011571,0.0009438031033169459,952.1615311839944,0.6130838891131615,0.5990262625011571,0.0943803103316946
2025-12-01,CANADA,114690909,0.00582167501822348,0.005845627793987361,0.0014859210257053012,626.8775738940966,0.582167501822348,0.5845627793987361,0.14859210257053013
2025-12-01,SPAIN,108527346,0.005508814469351672,0.004521876955786492,0.001956014557496029,483.6985136631598,0.5508814469351672,0.4521876955786492,0.1956014557496029
2025-12-01,FRANCE,106700112,0.00541606463745132,0.005233212364716841,0.0008341914597122878,1064.6467862903182,0.541606463745132,0.5233212364716842,0.08341914597122878
2025-12-01,ITALY,73697897,0.00374088242565509,0.0034268094729573285,0.000410109431152444,1953.0301867259873,0.374088242565509,0.34268094729573284,0.0410109431152444
2025-12-01,INDIA,63781899,0.0032375494384053855,0.0044803263425019745,0.003446382948304,281.0645283071531,0.32375494384053854,0.44803263425019746,0.3446382948304
2025-12-01,ETHIOPIA,51053380,0.0025914537563031283,0.004246372514545818,0.0019969677087279007,475.64325482568466,0.2591453756303128,0.4246372514545818,0.19969677087279006
2025-12-01,UNITED KINGDOM,49402734,0.002507667476589097,0.0024056385013001866,0.0003251686256668538,2346.109925112415,0.2507667476589097,0.24056385013001866,0.03251686256668538
2025-12-01,AUSTRIA,42873889,0.002176265326534176,0.0018628632948801867,0.0006730158905929259,1290.8191756680521,0.2176265326534176,0.18628632948801865,0.0673015890592926
2025-12-01,LAOS,32104907,0.0016296351356347531,0.0023078669748742247,0.007089974228995815,138.8559031043707,0.16296351356347533,0.23078669748742248,0.7089974228995816
2025-12-01,SWITZERLAND,25583620,0.0012986166273189323,0.001497882206157285,0.0003359462130488513,2290.8821168284094,0.12986166273189323,0.1497882206157285,0.03359462130488513
2025-12-01,NETHERLANDS,23658698,0.0012009081827949748,0.0009106609650630723,0.00023303707953264494,2999.06272664543,0.12009081827949748,0.09106609650630723,0.023303707953264495
2025-12-01,SWEDEN,18505828,0.0009393500975665002,0.0010322498964498794,0.002177474803200196,438.67034159877534,0.09393500975665002,0.10322498964498794,0.21774748032001962
2025-12-01,DENMARK,16761370,0.0008508019497883698,0.0007362286089059806,0.0002834969383278574,2605.3642107463806,0.08508019497883698,0.07362286089059805,0.028349693832785742
2025-12-01,SLOVAKIA,13851924,0.0007031193719558911,0.0007884074456587066,0.00018087782828301146,3557.763482923103,0.0703119371955891,0.07884074456587066,0.018087782828301147
2025-12-01,HUNGARY,13345998,0.00067743872489371,0.0007521605111392955,0.0002340062901356776,2991.9273701976354,0.067743872489371,0.07521605111392955,0.02340062901356776
2025-12-01,CZECH REPUBLIC,13201337,0.0006700957773388064,0.0007258539996352263,0.00017437484636814658,3642.2067017098034,0.06700957773388064,0.07258539996352263,0.01743748463681466
2025-12-01,POLAND,10680674,0.0005421477041705987,0.0007445596148614042,0.00016627953851020832,3753.415894768472,0.05421477041705987,0.07445596148614042,0.01662795385102083
2025-12-01,TANZANIA,10197727,0.0005176334640312518,0.00017291896409787268,0.00014937081796132274,4008.016554250497,0.051763346403125174,0.017291896409787268,0.014937081796132274
2025-12-01,NEW ZEALAND,8347358,0.0004237093066963826,0.0005178521709082563,0.0001491116659305948,4012.5631489767184,0.04237093066963826,0.051785217090825626,0.01491116659305948
2025-12-01,BELGIUM,7734851,0.00039261864108497825,0.0003227061169659756,9.019433552140909e-05,5255.715837270006,0.03926186410849782,0.03227061169659756,0.00901943355214091
2025-12-01,SLOVENIA,7315569,0.0003713360166270033,0.0002698191183839464,0.0001473759355022197,4040.9292923094504,0.037133601662700334,0.02698191183839464,0.01473759355022197
2025-12-01,HONG KONG,7241077,0.00036755482577902163,0.00020520996221122038,0.00012183919186566302,4506.112904430154,0.03675548257790216,0.020520996221122037,0.012183919186566302
2025-12-01,BRAZIL,6193411,0.00031437562410714263,0.00037748972440423376,0.00016403090236909558,3786.244774402985,0.03143756241071426,0.03774897244042338,0.016403090236909557
2025-12-01,ROMANIA,6060205,0.00030761412880434165,0.00036532145686316383,7.533635433555746e-05,5701.569361696614,0.030761412880434165,0.03653214568631638,0.007533635433555746
2025-12-01,MOROCCO,5243692,0.00026616818181865063,0.00024812343273116806,0.0005095139125846968,1640.2149502686868,0.026616818181865065,0.024812343273116808,0.05095139125846968
2025-12-01,TURKEY,5187882,0.0002633352835043906,0.00015859243421048605,0.0002519534559104593,2840.5365764353774,0.02633352835043906,0.015859243421048604,0.025195345591045932
2025-12-01,FINLAND,4801081,0.0002437013845462451,0.0002742091110109518,9.220161190581387e-05,5201.6020505872375,0.02437013845462451,0.02742091110109518,0.009220161190581387
2025-12-01,COLOMBIA,4608663,0.00023393430646286776,0.00024536876624723394,0.0001489031953304572,4016.68634412746,0.023393430646286777,0.024536876624723394,0.01489031953304572
2025-12-01,DOMINICAN REPUBLIC,3785258,0.00019213852369179998,0.00018576607472735326,4.78777386349146e-05,6761.043756184739,0.01921385236918,0.018576607472735325,0.00478777386349146
2025-12-01,PORTUGAL,3751046,0.00019040193316810413,0.00018978030411245824,0.00023535179613475257,2981.3754081253937,0.01904019331681041,0.018978030411245825,0.023535179613475257
2025-12-01,CROATIA,3178433,0.00016133627464053938,9.330646066353789e-05,3.646852234755556e-05,7326.514910002385,0.01613362746405394,0.009330646066353789,0.003646852234755556
2025-12-01,CAMBODIA,2930040,0.00014872792289400658,0.00012549625962852292,3.898338732497293e-05,7194.034418942743,0.014872792289400657,0.012549625962852293,0.003898338732497293
2025-12-01,TUNISIA,2610350,0.0001325005575099214,0.00011763788889250199,3.6495564685157854e-05,7325.274647193081,0.013250055750992138,0.011763788889250198,0.0036495564685157856
2025-12-01,BULGARIA,2596224,0.00013178352612509364,0.00011319034108346318,0.00012982498131220712,4350.563680088362,0.013178352612509363,0.011319034108346318,0.012982498131220712
2025-12-01,NORWAY,2375434,0.00012057629410922773,0.00014104380929597565,0.00010490992867598802,4879.604566584673,0.012057629410922774,0.014104380929597565,0.010490992867598801
2025-12-01,UNITED ARAB EMIRATES,2248448,0.0001141305240799386,0.00011560268458448618,4.564726313176862e-05,6865.119522165774,0.01141305240799386,0.011560268458448618,0.004564726313176862
2025-12-01,EL SALVADOR,1987755,0.0001008978281430206,0.00011286468013869375,4.6773568883761924e-05,6812.528371260987,0.01008978281430206,0.011286468013869375,0.004677356888376193
2025-12-01,MALTA,1879236,9.538943731404395e-05,0.0003606236657436506,0.00049105243716145,1691.735872649071,0.009538943731404395,0.03606236657436506,0.049105243716145004
2025-12-01,AUSTRALIA,1770124,8.985094598873411e-05,0.00018644412414831564,6.277960095250793e-05,6142.723923655163,0.008985094598873412,0.018644412414831564,0.006277960095250793
2025-12-01,ESTONIA,1682818,8.541932046956572e-05,0.00010298399900271719,4.111878916123955e-05,7085.623300927332,0.008541932046956573,0.01029839990027172,0.004111878916123956
2025-12-01,JORDAN,1214112,6.162794907942831e-05,9.984361150135452e-05,5.867161592889926e-05,6301.936021745647,0.006162794907942831,0.009984361150135452,0.0058671615928899265
2025-12-01,SRI LANKA,1138397,5.778467913024e-05,7.514297327957803e-05,2.3293631081414877e-05,8110.250355596832,0.005778467913024,0.007514297327957803,0.0023293631081414876
2025-12-01,LITHUANIA,944452,4.794009099981239e-05,5.908978756241971e-05,2.539745556093893e-05,7974.2611637208,0.0047940090999812396,0.005908978756241971,0.0025397455560938927
2025-12-01,GREECE,749133,3.802575905494663e-05,4.084625420487216e-05,0.0001293561415515488,4359.8656982821585,0.0038025759054946635,0.004084625420487216,0.012935614155154878
2025-12-01,SERBIA,573668,2.9119210000805096e-05,3.229055667161595e-05,1.2452255943974165e-05,8892.40391307226,0.0029119210000805094,0.0032290556671615953,0.0012452255943974165
2025-12-01,UKRAINE,472552,2.398659315893592e-05,1.895394912999505e-05,5.365802118051881e-06,9490.517732560586,0.002398659315893592,0.0018953949129995049,0.0005365802118051881
2025-12-01,LIECHTENSTEIN,469386,2.382588797952457e-05,3.168987285473123e-05,3.332454161946849e-05,7500.315860572218,0.002382588797952457,0.003168987285473123,0.0033324541619468486
2025-12-01,BURMA,345749,1.7550112152967153e-05,1.7777566098956014e-05,4.54588888016821e-06,9565.009782776244,0.0017550112152967152,0.0017777566098956014,0.000454588888016821
2025-12-01,SOUTH AFRICA,304037,1.5432823952207163e-05,9.352381914532598e-06,7.981555563152823e-06,9260.69792161133,0.0015432823952207164,0.0009352381914532598,0.0007981555563152823
2025-12-01,MOLDOVA,290575,1.4749497001722149e-05,1.6979266748070706e-05,1.6960653496073726e-05,8549.757722895818,0.0014749497001722148,0.0016979266748070705,0.0016960653496073726
2025-12-01,GUATEMALA,267086,1.3557202636847498e-05,1.0597085189976498e-05,7.79980506994722e-06,9276.328859300902,0.0013557202636847497,0.0010597085189976497,0.000779980506994722
2025-12-01,LATVIA,262879,1.3343656619859646e-05,1.3645318781502484e-05,1.0174693437208714e-05,9076.373395250674,0.0013343656619859646,0.0013645318781502485,0.0010174693437208714
2025-12-01,LEBANON,241851,1.2276281852752313e-05,1.685050679711042e-05,8.567877771214969e-06,9210.714478783686,0.0012276281852752313,0.0016850506797110422,0.000856787777121497
2025-12-01,KAZAKHSTAN,222011,1.1269209597691942e-05,1.1027826370344984e-05,7.051227201147079e-06,9341.21688218897,0.0011269209597691942,0.0011027826370344984,0.0007051227201147079
2025-12-01,VENEZUELA,218672,1.109972299186298e-05,1.0652533296949052e-05,9.228678065490143e-06,9155.003227975034,0.001109972299186298,0.0010652533296949052,0.0009228678065490143
2025-12-01,ST KITTS AND NEVIS,218227,1.1077134929690507e-05,1.3124553203237071e-05,3.6208115715373864e-06,9650.464107537908,0.0011077134929690508,0.0013124553203237071,0.00036208115715373864
2025-12-01,ARMENIA,212873,1.0805367547956977e-05,4.054145795233521e-06,2.9314006098048537e-06,9715.103347551232,0.0010805367547956977,0.0004054145795233521,0.00029314006098048537
2025-12-01,ECUADOR,164126,8.330984926110811e-06,7.31588175471787e-06,4.313229688851006e-06,9586.431864854367,0.0008330984926110812,0.000731588175471787,0.0004313229688851006
2025-12-01,MACEDONIA,161457,8.195507312766249e-06,1.6592049258638404e-05,2.5028159512561378e-05,7998.13264780739,0.0008195507312766249,0.0016592049258638403,0.002502815951256138
2025-12-01,RUSSIA,159658,8.104190629961127e-06,4.2602133768618486e-05,4.071032759683995e-05,7106.7412953121975,0.0008104190629961127,0.004260213376861849,0.004071032759683995
2025-12-01,HONDURAS,158504,8.045613947383524e-06,6.0243975070002124e-06,4.368974474002028e-06,9581.314364980632,0.0008045613947383524,0.0006024397507000212,0.0004368974474002028
2025-12-01,NAMIBIA,122826,6.2346097177442124e-06,8.856026496693931e-06,4.912954010099745e-06,9531.651975922963,0.0006234609717744213,0.0008856026496693931,0.0004912954010099745
2025-12-01,PERU,96581,4.902421646471055e-06,7.578793042378044e-06,4.2492840282650995e-06,9592.344992098218,0.0004902421646471055,0.0007578793042378044,0.00042492840282651
2025-12-01,LUXEMBOURG,90498,4.5936504505268894e-06,4.28963698251699e-06,3.0304519230217614e-06,9705.82374128269,0.00045936504505268895,0.000428963698251699,0.00030304519230217613
2025-12-01,JAMAICA,86324,4.38177950331812e-06,3.42040242428218e-06,1.6647281973716919e-06,9836.210020441968,0.00043817795033181204,0.000342040242428218,0.00016647281973716918
2025-12-01,RWANDA,68075,3.4554659154856242e-06,1.5412008724005394e-06,9.663638011142877e-07,9904.254316852483,0.00034554659154856243,0.00015412008724005393,9.663638011142877e-05
2025-12-01,GEORGIA,63117,3.2037993711010816e-06,1.7085250698675246e-06,1.1154040169832222e-06,9889.658315884992,0.0003203799371101082,0.00017085250698675245,0.00011154040169832222
2025-12-01,ANDORRA,56927,2.8895968882974678e-06,1.2387887952530857e-05,4.181432881719702e-05,7051.453254008897,0.0002889596888297468,0.0012387887952530856,0.004181432881719702
2025-12-01,EGYPT,56058,2.845486717448301e-06,1.0424361200028957e-06,1.2695920854212266e-06,9874.604349840589,0.00028454867174483014,0.00010424361200028957,0.00012695920854212265
2025-12-01,ARGENTINA,44709,2.2694149925148258e-06,1.8459372869828872e-06,2.1605834387487424e-06,9788.488837131248,0.00022694149925148258,0.0001845937286982887,0.00021605834387487422
2025-12-01,HAITI,40519,2.0567318902616527e-06,3.736777060079271e-06,3.621164634744476e-06,9650.518277738094,0.00020567318902616527,0.0003736777060079271,0.00036211646347444757
2025-12-01,KOSOVO,35528,1.803390276098028e-06,1.1262890474942072e-06,5.755641175189069e-07,9942.755035818265,0.0001803390276098028,0.00011262890474942072,5.755641175189069e-05
2025-12-01,SIERRA LEONE,31648,1.606442677830173e-06,7.426862123867118e-07,1.4010657059866992e-06,9861.81344934605,0.00016064426778301732,7.426862123867118e-05,0.0001401065705986699
2025-12-01,PAKISTAN,21572,1.094988038617053e-06,4.361542802978668e-07,4.894808991905263e-06,9533.349787491688,0.00010949880386170531,4.3615428029786685e-05,0.0004894808991905263
2025-12-01,SAUDI ARABIA,21131,1.072603015205681e-06,7.808385634293098e-07,7.135060745822212e-05,5835.981221372674,0.00010726030152056809,7.808385634293098e-05,0.0071350607458222125
2025-12-01,URUGUAY,20576,1.0444313871029335e-06,1.3774656590765243e-06,2.4033265445746717e-06,9765.297567099326,0.00010444313871029335,0.00013774656590765242,0.00024033265445746717
2025-12-01,ALBANIA,19927,1.0114883481143156e-06,9.886381996578915e-07,9.148708063629222e-07,9909.332296827353,0.00010114883481143156,9.886381996578915e-05,9.148708063629221e-05
2025-12-01,CURACAO,19578,9.937732162082638e-07,1.1294909977495543e-06,6.808748243678916e-06,9362.519668757237,9.937732162082637e-05,0.00011294909977495543,0.0006808748243678916
2025-12-01,ICELAND,16130,8.187538041393039e-07,5.481703110260858e-06,8.361738783072616e-05,5446.102861282825,8.187538041393039e-05,0.0005481703110260858,0.008361738783072616
2025-12-01,CHILE,12345,6.26628376447595e-07,1.319703074877009e-06,1.5492484761352e-06,9847.432535225807,6.26628376447595e-05,0.0001319703074877009,0.00015492484761352
2025-12-01,SENEGAL,7930,4.025243438824972e-07,9.125260916569888e-07,5.166654809611171e-07,9948.595018455584,4.025243438824972e-05,9.125260916569888e-05,5.1666548096111706e-05
2025-12-01,MONGOLIA,5587,2.83594389567656e-07,9.453146318921868e-08,1.1376358722374037e-06,9887.51326626682,2.83594389567656e-05,9.453146318921867e-06,0.00011376358722374037
2025-12-01,MACAU,5548,2.816147616469224e-07,5.06656309321199e-07,4.210169344375839e-06,9595.989764498043,2.8161476164692244e-05,5.06656309321199e-05,0.0004210169344375839
2025-12-01,UZBEKISTAN,4325,2.1953566044032793e-07,4.1770944465805274e-07,4.750541009955817e-07,9952.717014306447,2.1953566044032794e-05,4.1770944465805275e-05,4.7505410099558174e-05
2025-12-01,BANGLADESH,4027,2.0440927273831227e-07,6.813642424609957e-08,1.9963195096839436e-05,8335.888309605996,2.0440927273831227e-05,6.813642424609957e-06,0.0019963195096839434
2025-12-01,BELIZE,3895,1.977089936219832e-07,6.59029978739944e-08,1.3302384025242898e-06,9868.720512810862,1.977089936219832e-05,6.59029978739944e-06,0.00013302384025242899
2025-12-01,CAMEROON,3247,1.6481671432364042e-07,1.9800900675413967e-07,3.798146004901493e-06,9634.081856684264,1.648167143236404e-05,1.9800900675413967e-05,0.0003798146004901493
2025-12-01,GABON,2395,1.215694582091527e-07,4.052315273638423e-08,7.372642148706648e-08,9992.631574633055,1.215694582091527e-05,4.052315273638423e-06,7.372642148706649e-06
2025-12-01,MONACO,2030,1.0304217125869727e-07,3.4347390419565755e-08,2.3852021866259245e-06,9767.03542700484,1.0304217125869726e-05,3.4347390419565755e-06,0.00023852021866259244
2025-12-01,TURKS AND CAICOS ISLANDS,0,0.0,0.0,7.202851830474679e-07,9928.486582247217,0.0,0.0,7.202851830474679e-05
2025-12-01,SAN MARINO,0,0.0,3.64295880435621e-07,3.985586715115592e-07,9960.302351270242,0.0,3.64295880435621e-05,3.985586715115592e-05
2025-12-01,SAMOA,0,0.0,1.7453477022547594e-06,2.8570518507733456e-05,7777.83283140334,0.0,0.00017453477022547593,0.0028570518507733456
2025-12-01,SURINAME,0,0.0,0.0,3.6486012403844256e-07,9963.646626559583,0.0,0.0,3.648601240384426e-05
2025-12-01,ST VINCENT AND THE GRENADINES,0,0.0,0.0,7.576078601516212e-08,9992.429656750033,0.0,0.0,7.5760786015162115e-06
2025-12-01,ST LUCIA,0,0.0,0.0,2.5008727593627967e-07,9975.053660028452,0.0,0.0,2.5008727593627968e-05
2025-12-01,SEYCHELLES,0,0.0,0.0,6.78393854727992e-08,9993.220660514966,0.0,0.0,6.78393854727992e-06
2025-12-01,TOGO,0,0.0,0.0,1.6898708905439265e-07,9983.12979955521,0.0,0.0,1.6898708905439264e-05
2025-12-01,ST HELENA,0,0.0,0.0,3.3485748164868524e-07,9966.626007147124,0.0,0.0,3.348574816486853e-05
2025-12-01,REUNION,0,0.0,0.0,2.2306695020787374e-07,9977.74295309495,0.0,0.0,2.2306695020787375e-05
2025-12-01,TONGA,0,0.0,0.0,1.492348003023907e-07,9985.098757808788,0.0,0.0,1.492348003023907e-05
2025-12-01,TRINIDAD AND TOBAGO,0,0.0,0.0,5.446386232204328e-06,9483.49237685483,0.0,0.0,0.0005446386232204328
2025-12-01,AFGHANISTAN,0,0.0,1.055639894666578e-06,9.667039359455393e-07,9904.255175393382,0.0,0.00010556398946665781,9.667039359455393e-05
2025-12-01,PAPUA NEW GUINEA,0,0.0,0.0,1.6636002782079868e-06,9836.36225023947,0.0,0.0,0.00016636002782079867
2025-12-01,CABO VERDE,0,0.0,0.0,8.59699789226235e-06,9208.357683994973,0.0,0.0,0.0008596997892262349
2025-12-01,ESWATINI,0,0.0,1.3264934511606744e-07,1.5682885948382654e-07,9984.341670830667,0.0,1.3264934511606743e-05,1.5682885948382653e-05
2025-12-01,DJIBOUTI,0,0.0,4.075866755118527e-08,3.52980415237582e-08,9996.471441359718,0.0,4.075866755118527e-06,3.5298041523758204e-06
2025-12-01,CYPRUS,0,0.0,1.0278272686820634e-07,0.0002846602145906578,2599.696984685993,0.0,1.0278272686820634e-05,0.02846602145906578
2025-12-01,COTE D'IVOIRE,0,0.0,0.0,9.47363316269061e-07,9906.152742860557,0.0,0.0,9.473633162690611e-05
2025-12-01,CONGO,0,0.0,0.0,1.0695791992334816e-06,9894.173973246185,0.0,0.0,0.00010695791992334816
2025-12-01,CHAD,0,0.0,0.0,7.582057407619741e-07,9924.749975926254,0.0,0.0,7.58205740761974e-05
2025-12-01,CENTRAL AFRICAN REPUBLIC,0,0.0,0.0,2.493265889456214e-07,9975.129350248113,0.0,0.0,2.4932658894562142e-05
2025-12-01,CAYMAN ISLANDS,0,0.0,0.0,3.8408751927238964e-07,9961.738206844919,0.0,0.0,3.840875192723896e-05
2025-12-01,BRUNEI,0,0.0,0.0,7.625190169169e-07,9924.32513355597,0.0,0.0,7.625190169169e-05
2025-12-01,PANAMA,0,0.0,4.87050348310281e-06,3.65269063854124e-06,9647.602911604201,0.0,0.00048705034831028095,0.000365269063854124
2025-12-01,BOSNIA AND HERZEGOVINA,0,0.0,3.409137689608523e-07,5.275007523551605e-07,9947.526721702288,0.0,3.409137689608523e-05,5.275007523551605e-05
2025-12-01,BERMUDA,0,0.0,0.0,9.970769326510337e-07,9901.27665444061,0.0,0.0,9.970769326510336e-05
2025-12-01,BELARUS,0,0.0,1.369769734829442e-07,4.965287055259485e-07,9950.592452105398,0.0,1.369769734829442e-05,4.965287055259485e-05
2025-12-01,BARBADOS,0,0.0,2.7949067090133127e-07,2.6095051072690654e-07,9973.972866864155,0.0,2.7949067090133128e-05,2.6095051072690653e-05
2025-12-01,BAHRAIN,0,0.0,0.0,5.167274123076508e-08,9994.835394570122,0.0,0.0,5.167274123076508e-06
2025-12-01,BAHAMAS,0,0.0,0.0,4.138297167080721e-07,9958.78757758014,0.0,0.0,4.138297167080721e-05
2025-12-01,AZERBAIJAN,0,0.0,0.0,9.895262744105798e-08,9990.114519198882,0.0,0.0,9.895262744105797e-06
2025-12-01,ARUBA,0,0.0,7.4615409704687e-08,6.881889896189794e-07,9931.651468109141,0.0,7.4615409704686996e-06,6.881889896189794e-05
2025-12-01,FAROE ISLANDS,0,0.0,0.0,1.9744211282182364e-06,9806.380746625107,0.0,0.0,0.00019744211282182365
2025-12-01,FRENCH POLYNESIA,0,0.0,0.0,6.718995391243167e-07,9933.258482039151,0.0,0.0,6.718995391243167e-05
2025-12-01,GUADELOUPE,0,0.0,0.0,3.088312936820526e-06,9700.420654016014,0.0,0.0,0.0003088312936820526
2025-12-01,GUINEA,0,0.0,0.0,5.184462506712736e-08,9994.818223965643,0.0,0.0,5.184462506712736e-06
2025-12-01,OMAN,0,0.0,2.0535780777747952e-07,1.94806353994107e-07,9980.557240331815,0.0,2.0535780777747952e-05,1.94806353994107e-05
2025-12-01,NIGER,0,0.0,9.789541753254932e-08,3.5080950275946216e-06,9661.080128403542,0.0,9.789541753254932e-06,0.00035080950275946215
2025-12-01,NICARAGUA,0,0.0,0.0,4.924470920369359e-07,9950.996606582192,0.0,0.0,4.924470920369359e-05
2025-12-01,NEPAL,0,0.0,0.0,2.039728951469425e-07,9979.6442307372,0.0,0.0,2.039728951469425e-05
2025-12-01,NAURU,0,0.0,0.0,6.601218259703142e-08,9993.403136473893,0.0,0.0,6.601218259703142e-06
2025-12-01,MONTENEGRO,0,0.0,3.844558985033997e-08,9.995190143792955e-06,9091.306617068747,0.0,3.8445589850339976e-06,0.0009995190143792954
2025-12-01,MAURITIUS,0,0.0,2.7933403814725655e-06,4.253582328533208e-06,9591.996530620027,0.0,0.0002793340381472565,0.00042535823285332075
2025-12-01,MARSHALL ISLANDS,0,0.0,0.0,4.110119895678633e-07,9959.067040414793,0.0,0.0,4.110119895678633e-05
2025-12-01,MALI,0,0.0,7.645771365512328e-07,1.07026845547232e-05,9033.204605852843,0.0,7.645771365512328e-05,0.0010702684554723199
2025-12-01,MALAWI,0,0.0,0.0,3.048498340146394e-07,9969.607667573491,0.0,0.0,3.0484983401463937e-05
2025-12-01,MADAGASCAR,0,0.0,0.0,3.438756313371459e-07,9965.730282075156,0.0,0.0,3.4387563133714594e-05
2025-12-01,LIBERIA,0,0.0,1.1328484578414102e-07,1.4360333143153902e-07,9985.66025920235,0.0,1.1328484578414101e-05,1.4360333143153902e-05
2025-12-01,LESOTHO,0,0.0,5.6745019080414455e-08,2.5318099504339874e-07,9974.745839231184,0.0,5.6745019080414455e-06,2.5318099504339874e-05
2025-12-01,KYRGYZSTAN,0,0.0,0.0,1.8794148191892806e-06,9815.52555808013,0.0,0.0,0.00018794148191892806
2025-12-01,KUWAIT,0,0.0,0.0,2.6347242734968234e-07,9973.72199256907,0.0,0.0,2.6347242734968234e-05
2025-12-01,KENYA,0,0.0,4.519828442861414e-08,2.4093839040979747e-07,9975.964072735293,0.0,4.519828442861414e-06,2.409383904097975e-05
2025-12-01,GUYANA,0,0.0,9.718862909494051e-08,7.151908293090323e-07,9928.988782782417,0.0,9.718862909494052e-06,7.151908293090322e-05
2025-12-01,ZIMBABWE,0,0.0,0.0,1.3452452462807815e-07,9986.565620072926,0.0,0.0,1.3452452462807815e-05
